accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1652211
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1827198
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1982019
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.2168365
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.23203
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2498403
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2644866
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.283728
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2984535
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3167518
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3317236
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3498041
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3647917
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3840415
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3983466
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.4168198
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.4320529
65.92529,1066.348,1623.111,-91.30019,73.5915,59.66253,-23.9422,-85.26169,-18.07857,0,0,0,0,0,0,0,0,0,0,0.4497625
65.92529,1066.348,1623.111,-91.30019,73.5915,59.66253,-23.9422,-85.26169,-18.07857,0,0,0,0,0,0,0,0,0,0,0.4652016
65.92529,1066.348,1623.111,-91.30019,73.5915,59.66253,-23.9422,-85.26169,-18.07857,0,0,0,0,0,0,0,0,0,0,0.4837486
65.92529,1066.348,1623.111,-91.30019,73.5915,59.66253,-23.9422,-85.26169,-18.07857,0,0,0,0,0,0,0,0,0,0,0.4985155
65.92529,1066.348,1623.111,-91.30019,73.5915,59.66253,-23.9422,-85.26169,-18.07857,0,0,0,0,0,0,0,0,0,0,0.5167854
67.54023,1054.878,1635.889,-79.44016,58.6732,48.73002,-23.75376,-86.00935,-17.26286,0,0,0,0,0,0,0,0,0,0,0.5321715
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02859216
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05718431
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07718431
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09529728
