pitch,roll,yaw,time
123.75,0,-8.721493,5.338929
123.75,0,-8.726235,5.368805
123.75,0,-8.730978,5.408979
123.75,0,-8.735721,5.438566
123.75,0,-8.740463,5.480403
123.75,0,-8.745206,5.509829
123.75,0,-8.749949,5.552372
123.75,0,-8.754691,5.582954
123.75,0,-8.759434,5.615496
123.75,0,-8.764176,5.654262
123.75,0,-8.768919,5.684025
123.75,0,-8.773662,5.722496
123.75,0,-8.778404,5.75533
123.75,0,-8.783147,5.797206
123.75,0,-8.787889,5.828032
123.75,0,-8.792632,5.864823
123.75,0,-8.797375,5.895957
123.75,0,-8.802117,5.935292
123.75,0,-8.80686,5.965974
123.75,0,-8.811603,6.005193
123.75,0,-8.816345,6.034173
123.75,0,-8.821088,6.075194
123.75,0,-8.82583,6.104462
123.75,0,-8.830573,6.145203
123.75,0,-8.835316,6.174149
123.75,0,-8.840058,6.215609
123.75,0,-8.844801,6.246774
123.75,0,-8.849544,6.285133
123.75,0,-8.854286,6.314217
123.75,0,-8.859029,6.354899
123.75,0,-8.863771,6.384352
123.75,0,-8.868514,6.425092
123.75,0,-8.873257,6.454035
123.75,0,-8.877999,6.494254
123.75,0,-8.882742,6.524215
123.75,0,-8.887485,6.564204
123.75,0,-8.892227,6.594756
123.75,0,-8.89697,6.637094
123.75,0,-8.901712,6.667461
123.75,0,-8.906455,6.699493
123.75,0,-8.911198,6.730891
123.75,0,-8.91594,6.76661
123.75,0,-8.920683,6.806599
123.75,0,-8.925426,6.840185
123.75,0,-8.930168,6.874172
123.75,0,-8.934911,6.909244
123.75,0,-8.939653,6.944463
123.75,0,-8.944396,6.979096
123.75,0,-8.949139,7.014423
123.75,0,-8.953881,7.051229
123.75,0,-8.958624,7.088692
123.75,0,-8.963367,7.117835
123.75,0,-8.968109,7.158169
123.75,0,-8.972852,7.1878
123.75,0,-8.977594,7.23055
123.75,0,-8.982337,7.258739
123.75,0,-8.98708,7.297712
123.75,0,-8.991822,7.32747
123.75,0,-8.996565,7.367335
123.75,0,-9.001307,7.400159
123.75,0,-9.00605,7.437864
123.75,0,-9.010793,7.46779
123.75,0,-9.015535,7.507763
123.75,0,-9.020278,7.541327
123.75,0,-9.025021,7.570423
123.75,0,-9.029763,7.610461
123.75,0,-9.034506,7.648352
123.75,0,-9.039248,7.677351
123.75,0,-9.043991,7.708785
123.75,0,-9.048734,7.747595
123.75,0,-9.053476,7.784838
123.75,0,-9.058219,7.823817
123.75,0,-9.062962,7.85803
123.75,0,-9.067704,7.892145
123.75,0,-9.072447,7.925235
123.75,0,-9.077189,7.961556
123.75,0,-9.081932,7.995829
123.75,0,-9.086675,8.030801
123.75,0,-9.091417,8.065948
123.75,0,-9.09616,8.09886
123.75,0,-9.100903,8.140074
123.75,0,-9.105645,8.16948
123.75,0,-9.110388,8.210534
123.75,0,-9.11513,8.240073
123.75,0,-9.119873,8.280332
123.75,0,-9.124616,8.309552
123.75,0,-9.129358,8.350224
123.75,0,-9.134101,8.379395
123.75,0,-9.138844,8.419885
123.75,0,-9.143586,8.449457
123.75,0,-9.148329,8.489583
123.75,0,-9.153071,8.519634
123.75,0,-9.157814,8.55954
123.75,0,-9.162557,8.594887
123.75,0,-9.167299,8.629386
123.75,0,-9.172042,8.65941
123.75,0,-9.176785,8.699379
123.75,0,-9.181527,8.729436
123.75,0,-9.18627,8.769556
123.75,0,-9.191012,8.799184
123.75,0,-9.195755,8.839718
123.75,0,-9.200498,8.874758
123.75,0,-9.20524,8.909399
123.75,0,-9.209983,8.944036
123.75,0,-9.214725,8.984418
123.75,0,-9.219468,9.018442
123.75,0,-9.224211,9.054481
123.75,0,-9.228953,9.089247
123.75,0,-9.233696,9.124731
123.75,0,-9.238439,9.15975
123.75,0,-9.243181,9.190847
123.75,0,-9.247924,9.223882
123.75,0,-9.252666,9.254607
123.75,0,-9.257409,9.293444
123.75,0,-9.262152,9.324229
123.75,0,-9.266894,9.364627
123.75,0,-9.271637,9.395067
123.75,0,-9.27638,9.433599
123.75,0,-9.281122,9.464519
123.75,0,-9.285865,9.546033
123.75,0,-9.290607,9.575448
123.75,0,-9.29535,9.605176
123.75,0,-9.300093,9.635319
123.75,0,-9.304835,9.666365
123.75,0,-9.309578,9.695527
123.75,0,-9.314321,9.731858
123.75,0,-9.319063,9.769187
123.75,0,-9.323806,9.803107
123.75,0,-9.328548,9.834108
123.75,0,-9.333291,9.873391
123.75,0,-9.338034,9.91153
123.75,0,-9.342776,9.947886
123.75,0,-9.347519,9.984695
123.75,0,-9.352262,10.02088
123.75,0,-9.357004,10.05633
123.75,0,-9.361747,10.09213
123.75,0,-9.366489,10.12697
123.75,0,-9.371232,10.16744
123.75,0,-9.375975,10.20257
123.75,0,-9.380717,10.24074
123.75,0,-9.38546,10.27731
123.75,0,-9.390203,10.30979
123.75,0,-9.394945,10.34168
123.75,0,-9.399688,10.37539
123.75,0,-9.40443,10.41165
123.75,0,-9.409173,10.44663
123.75,0,-9.413916,10.47822
123.75,0,-9.418658,10.50911
123.75,0,-9.423401,10.54258
123.75,0,-9.428144,10.57997
123.75,0,-9.432886,10.61357
123.75,0,-9.437629,10.64847
123.75,0,-9.442371,10.68191
123.75,0,-9.447114,10.71741
123.75,0,-9.451857,10.74919
123.75,0,-9.456599,10.78757
123.75,0,-9.461342,10.82619
123.75,0,-9.466084,10.85994
123.75,0,-9.470827,10.99726
123.75,0,-9.47557,11.03507
123.75,0,-9.480312,11.07553
123.75,0,-9.485055,11.11257
123.75,0,-9.489798,11.15057
123.75,0,-9.49454,11.18649
123.75,0,-9.499283,11.22451
123.75,0,-9.504025,11.26135
123.75,0,-9.508768,11.29993
123.75,0,-9.513511,11.33667
123.75,0,-9.518253,11.37098
123.75,0,-9.522996,11.4043
123.75,0,-9.527739,11.43976
123.75,0,-9.532481,11.47716
123.75,0,-9.537224,11.50936
123.75,0,-9.541966,11.54414
123.75,0,-9.546709,11.57765
123.75,0,-9.551452,11.61068
123.75,0,-9.556194,11.64343
123.75,0,-9.560937,11.67816
123.75,0,-9.56568,11.71162
123.75,0,-9.570422,11.74597
123.75,0,-9.575165,11.80858
123.75,0,-9.579907,11.84125
123.75,0,-9.58465,11.88042
123.75,0,-9.589393,11.91475
123.75,0,-9.594135,11.94803
123.75,0,-9.598878,11.98083
123.75,0,-9.603621,12.01409
123.75,0,-9.608363,12.04703
123.75,0,-9.613106,12.08327
123.75,0,-9.617848,12.12069
123.75,0,-9.622591,12.15681
123.75,0,-9.627334,12.19445
123.75,0,-9.632076,12.2321
123.75,0,-9.636819,12.27499
123.75,0,-9.641562,12.31364
123.75,0,-9.646304,12.35466
