fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
0,0,0,0,0,0,0,0,0,0,0,0,0.01565846
0,0,0,0,0,0,0,0,0,0,0,0,0.03131692
0,0,0,0,0,0,0,0,0,0,0,0,0.05131692
0,0,0,0,0,0,0,0,0,0,0,0,0.07522711
0,0,0,0,0,0,0,0,0,0,0,0,0.09249219
0,0,0,0,0,0,0,0,0,0,0,0,0.1078486
0,0,0,0,0,0,0,0,0,0,0,0,0.1267929
0,0,0,0,0,0,0,0,0,0,0,0,0.1411587
0,0,0,0,0,0,0,0,0,0,0,0,0.1595977
0,0,0,0,0,0,0,0,0,0,0,0,0.1747359
0,0,0,0,0,0,0,0,0,0,0,0,0.1935415
0,0,0,0,0,0,0,0,0,0,0,0,0.2078796
0,0,0,0,0,0,0,0,0,0,0,0,0.2265019
0,0,0,0,0,0,0,0,0,0,0,0,0.241197
0,0,0,0,0,0,0,0,0,0,0,0,0.2598543
fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
0,0,0,0,0,0,0,0,0,0,0,0,0.02
0,0,0,0,0,0,0,0,0,0,0,0,0.04
0,0,0,0,0,0,0,0,0,0,0,0,0.06
fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,f,time,timer
